"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"189",2900355,"29",465.519363395225,522.101061007958,513.171352785146,463.936604774536,542.281167108753
"190",2900405,"29",447.224397590361,502.38343373494,487.764457831325,446.826807228916,499.518072289157
"191",2900504,"29",463.577358490566,499.191823899371,482.971698113208,466.774842767296,487.421383647799
"192",2900603,"29",451.148148148148,508.95,490.663888888889,452.187962962963,494.444444444444
"193",2900702,"29",473.917011278196,531.261071428571,513.708778195489,473.654304511278,517.327067669173
"194",2900801,"29",458.532171581769,504.723324396783,489.368632707775,459.746112600536,485.951742627346
"195",2900900,"29",454.598,511.394666666667,496.496,457.994,511.2
"196",2901007,"29",456.269778374748,514.31040967092,490.158025520484,449.24600402955,501.11282740094
"197",2901106,"29",465.20023255814,521.736279069767,502.126627906977,463.213837209302,511.46511627907
"198",2901155,"29",448.297037037037,484.161111111111,475.866666666667,449.781111111111,466.148148148148
"199",2901205,"29",449.621921921922,510.266666666667,494.987687687688,455.87957957958,506.306306306306
"200",2901304,"29",459.09696969697,499.518787878788,493.270909090909,464.098787878788,478.30303030303
"201",2901353,"29",472.482817869416,518.338487972509,499.40618556701,477.778694158076,518.831615120275
"202",2901403,"29",445.813265306122,494.081632653061,484.887755102041,452.582993197279,503.537414965986
"203",2901502,"29",453.989655172414,517.542068965517,494.184137931034,446.63724137931,512.551724137931
"204",2901601,"29",457.049769585253,490.210599078341,481.387096774194,454.492165898617,479.354838709677
"205",2901700,"29",446.125,497.560714285714,484.101020408163,441.604591836735,459.591836734694
"206",2901809,"29",474.281132075472,521.150628930818,501.568867924528,467.455031446541,508.427672955975
"207",2901908,"29",449.047157190635,508.242140468227,500.555183946488,454.092642140468,494.046822742475
"208",2901957,"29",457.325547445255,518.067153284672,497.213868613139,463.247445255474,514.598540145985
"209",2902005,"29",463.823,515.3405,499.6275,484.0375,505.3
"210",2902054,"29",448.535,502.741,492.905666666667,454.060333333333,476.133333333333
"211",2902104,"29",453.327627627628,508.245945945946,492.431831831832,458.458858858859,504.174174174174
"212",2902203,"29",456.237735849057,499.402358490566,488.596698113208,443.946698113208,471.415094339623
"213",2902252,"29",458.80782122905,513.468156424581,497.939664804469,456.85530726257,504.022346368715
"214",2902302,"29",454.901015228426,501.463959390863,486.437563451777,450.376649746193,480.710659898477
"215",2902401,"29",450.626241134752,504.150354609929,483.340070921986,441.409929078014,480.709219858156
"216",2902500,"29",446.203720930233,488.68511627907,476.652558139535,452.626976744186,512.744186046512
"217",2902609,"29",457.191383219955,506.106575963719,492.361904761905,456.119954648526,500.952380952381
"218",2902658,"29",451.106696428571,505.049107142857,492.70625,453.696875,495.178571428571
"219",2902708,"29",448.080648064806,498.506300630063,482.902520252025,440.133393339334,482.574257425743
"220",2902807,"29",457.705993690852,511.779968454259,495.673501577287,468.429652996845,506.309148264984
"221",2902906,"29",462.161199510404,520.758017135863,505.260220318237,462.519094247246,499.06976744186
"222",2903003,"29",462.682278481013,514.265506329114,501.388924050633,462.650316455696,489.955696202532
"223",2903102,"29",449.432075471698,506.888050314465,497.082389937107,455.431446540881,499.283018867925
"224",2903201,"29",473.609153284672,530.422700729927,512.262350364963,479.402437956204,542.004525547445
"225",2903235,"29",452.894845360825,506.617525773196,489.77560137457,456.491408934708,501.649484536082
"226",2903276,"29",452.162121212121,512.537272727273,502.230909090909,461.638181818182,511.818181818182
"227",2903300,"29",455.60406504065,507.141463414634,489.710569105691,438.034146341463,507.317073170732
"228",2903409,"29",456.063087248322,508.221476510067,502.473825503356,452.332214765101,502.953020134228
"229",2903508,"29",463.126060606061,523.865454545455,502.246363636364,468.207878787879,538.181818181818
"230",2903607,"29",453.937288135593,510.225423728814,496.056779661017,451.033050847458,503.050847457627
"231",2903706,"29",445.518248175182,506.014598540146,487.002189781022,455.76094890511,494.014598540146
"232",2903805,"29",435.87829787234,491.355744680851,475.732340425532,433.772340425532,461.702127659574
"233",2903904,"29",458.66176952485,516.79175314036,498.923156744948,465.74478427089,506.684871654833
"234",2903953,"29",440.856680161943,492.849392712551,479.688663967611,443.027530364372,469.959514170041
"235",2904001,"29",452.549261083744,501.426600985222,492.185221674877,452.636945812808,494.87684729064
"236",2904050,"29",448.27,488.585882352941,482.448529411765,453.435294117647,472.823529411765
"237",2904100,"29",452.186304347826,499.744565217391,484.93347826087,447.26,494.304347826087
"238",2904209,"29",462.923733333333,508.417866666667,491.765333333333,456.5456,496.426666666667
"239",2904308,"29",454.823294117647,499.986588235294,483.898588235294,442.670588235294,495.152941176471
"240",2904407,"29",445.499107142857,485.711607142857,480.671428571429,435.5875,461.964285714286
"241",2904506,"29",460.853416149068,498.316149068323,489.129813664596,453.587577639752,488.944099378882
"242",2904605,"29",475.451104746318,531.413338788871,514.9352700491,493.785515548282,526.600654664484
"243",2904704,"29",466.947619047619,531.227819548872,506.955137844612,466.036591478697,531.629072681704
"244",2904753,"29",445.362871287129,489.003465346535,478.027722772277,440.095049504951,464.257425742574
"245",2904803,"29",452.160294117647,496.475735294118,482.748529411765,446.360294117647,489.558823529412
"246",2904852,"29",454.813470319635,503.168493150685,488.643607305936,448.55296803653,502.283105022831
"247",2904902,"29",456.350776196637,516.901358344114,496.769728331177,456.927554980595,505.659767141009
"248",2905008,"29",472.626486486486,525.826891891892,507.284594594595,477.308783783784,536.594594594595
"249",2905107,"29",454.979245283019,517.407547169811,498.023270440252,460.127044025157,509.308176100629
"250",2905156,"29",449.318279569892,494.883870967742,482.778494623656,447.718279569893,468.387096774194
"251",2905206,"29",468.764841182913,523.650985761227,509.305312157722,482.066703176342,542.415115005476
"252",2905305,"29",453.001030927835,500.819243986254,482.442268041237,451.77560137457,496.838487972509
"253",2905404,"29",457.163768115942,511.013768115942,484.219565217391,439.665217391304,512.31884057971
"254",2905503,"29",446.275,499.694166666667,492.003333333333,437.206666666667,460.833333333333
"255",2905602,"29",458.208700440529,517.954295154185,501.494933920705,468.191960352423,508.348017621145
"256",2905701,"29",466.445306248076,526.612424335693,511.684990253411,470.740576587668,508.705755617113
"257",2905800,"29",448.868421052632,495.587151702786,484.890247678019,442.945510835913,479.969040247678
"258",2905909,"29",449.809691629956,493.744933920705,479.26563876652,452.776651982379,440.79295154185
"259",2906006,"29",464.7395625,517.636375,503.6655625,469.818375,514.220625
"260",2906105,"29",440.865972222222,477.152777777778,465.843055555556,441.604861111111,435.833333333333
"261",2906204,"29",460.550891089109,502.429702970297,490.751881188119,466.914653465347,484.831683168317
"262",2906303,"29",467.304269972452,527.226033057851,513.625757575758,465.349311294766,509.917355371901
"263",2906402,"29",443.238317757009,499.204672897196,492.485046728972,457.542990654206,476.261682242991
"264",2906501,"29",461.417478856222,514.291421667338,502.815344341522,456.942851389448,500.865888038663
"265",2906600,"29",472.056900726392,520.02397094431,500.544309927361,481.337288135593,538.1598062954
"266",2906709,"29",465.114473684211,519.310690789474,506.126480263158,475.138815789474,532.401315789474
"267",2906808,"29",449.006983240223,512.502234636872,493.486592178771,451.329329608939,482.067039106145
